epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1255.35,2.08579,0.78222,0.95575,3.92826,0.00333195,0.00333195,0.00333195
2,2503.94,0.88411,0.8439,0.97541,3.83364,0.00633535,0.00633535,0.00633535
3,3804.95,0.97161,0.83293,0.97103,3.85525,0.00900875,0.00900875,0.00900875
4,5150,0.95192,0.8704,0.98223,3.80869,0.008515,0.008515,0.008515
5,6470.36,0.779,0.90026,0.98929,3.76966,0.00802,0.00802,0.00802
6,7797.88,0.68756,0.91726,0.99228,3.75064,0.007525,0.007525,0.007525
7,9121.48,0.63309,0.9298,0.99447,3.73282,0.00703,0.00703,0.00703
8,10482.1,0.58552,0.93822,0.9959,3.72128,0.006535,0.006535,0.006535
9,11833.3,0.53867,0.9451,0.9965,3.71278,0.00604,0.00604,0.00604
10,13178.2,0.50661,0.94986,0.99695,3.70476,0.005545,0.005545,0.005545
11,14504.8,0.4739,0.95362,0.99751,3.69921,0.00505,0.00505,0.00505
12,15814.8,0.4409,0.95656,0.99793,3.69467,0.004555,0.004555,0.004555
13,17110.8,0.41226,0.9594,0.99825,3.69137,0.00406,0.00406,0.00406
14,18382.6,0.38215,0.96117,0.99838,3.68863,0.003565,0.003565,0.003565
15,19655.4,0.34679,0.96284,0.99857,3.68628,0.00307,0.00307,0.00307
16,20927.2,0.31713,0.96459,0.99865,3.68404,0.002575,0.002575,0.002575
17,22190.1,0.28282,0.96638,0.99877,3.68195,0.00208,0.00208,0.00208
18,23461.6,0.25103,0.96783,0.9989,3.67985,0.001585,0.001585,0.001585
19,24723.6,0.22271,0.96965,0.99898,3.67777,0.00109,0.00109,0.00109
20,25996.2,0.19347,0.97119,0.99913,3.67571,0.000595,0.000595,0.000595
